Logged,Captured,Device ID,CPM0,CPM1,Latitude,Longitude,Altitude,Bat V,Bat SOC,SNR,Temp C,Humid %,Press Pa,PMS PM 1.0,PMS PM 2.5,PMS PM 10.0,PMS # 0.3,PMS # 0.5,PMS # 1.0,PMS # 2.5,PMS # 5.0,PMS # 10.0,PMS # Secs,OPC PM 1.0,OPC PM 2.5,OPC PM 10.0,OP # 0.38,OPC # 0.54,OPC # 1.0,OPC # 2.1,OPC # 5.0,OPC # 10.0,OPC # Secs
2016-10-09 19:49:44,2016-10-09T19:49:42Z,1553490618,28,,42.564835,-70.783821,0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 19:52:27,2016-10-09T19:52:24Z,1553490618,,14,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 19:54:14,2016-10-09T19:54:12Z,1553490618,,,42.123001,-70.123001,123,,,8.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 19:55:13,2016-10-09T19:55:10Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 19:57:41,2016-10-09T19:57:39Z,1553490618,,13,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:00:24,2016-10-09T20:00:22Z,1553490618,27,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:03:15,2016-10-09T20:03:12Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:05:56,2016-10-09T20:05:54Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:08:39,2016-10-09T20:08:37Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:11:29,2016-10-09T20:11:26Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:13:57,2016-10-09T20:13:55Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:16:27,2016-10-09T20:16:24Z,1553490618,30,,42.564835,-70.783821,0,4.18,98.77,9.0,10.74,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:19:09,2016-10-09T20:19:07Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:21:59,2016-10-09T20:21:57Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:24:43,2016-10-09T20:24:39Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:27:24,2016-10-09T20:27:22Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:30:14,2016-10-09T20:30:12Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:32:57,2016-10-09T20:32:54Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:35:40,2016-10-09T20:35:37Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:38:29,2016-10-09T20:38:27Z,1553490618,26,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:41:12,2016-10-09T20:41:10Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:43:41,2016-10-09T20:43:38Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:46:24,2016-10-09T20:46:21Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:49:14,2016-10-09T20:49:11Z,1553490618,32,,42.564835,-70.783821,0,4.18,98.61,8.0,10.50,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:51:56,2016-10-09T20:51:54Z,1553490618,,13,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:54:39,2016-10-09T20:54:37Z,1553490618,27,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:57:29,2016-10-09T20:57:26Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:59:57,2016-10-09T20:59:55Z,1553490618,27,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:02:40,2016-10-09T21:02:38Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:05:23,2016-10-09T21:05:20Z,1553490618,31,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:08:12,2016-10-09T21:08:10Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:10:55,2016-10-09T21:10:53Z,1553490618,33,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:13:38,2016-10-09T21:13:35Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:16:14,2016-10-09T21:16:11Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:18:56,2016-10-09T21:18:54Z,1553490618,,8,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:21:26,2016-10-09T21:21:23Z,1553490618,31,,42.564835,-70.783821,0,4.17,98.45,6.0,10.00,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:24:08,2016-10-09T21:24:06Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:26:58,2016-10-09T21:26:56Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:29:41,2016-10-09T21:29:38Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:32:23,2016-10-09T21:32:21Z,1553490618,30,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:35:13,2016-10-09T21:35:11Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:37:56,2016-10-09T21:37:53Z,1553490618,26,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:40:39,2016-10-09T21:40:36Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:43:15,2016-10-09T21:43:12Z,1553490618,26,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:45:57,2016-10-09T21:45:54Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:48:40,2016-10-09T21:48:37Z,1553490618,30,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:51:29,2016-10-09T21:51:27Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:54:12,2016-10-09T21:54:10Z,1553490618,30,,42.564835,-70.783821,0,4.17,97.66,8.0,9.95,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:56:55,2016-10-09T21:56:53Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:59:38,2016-10-09T21:59:36Z,1553490618,30,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:02:28,2016-10-09T22:02:25Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:05:10,2016-10-09T22:05:08Z,1553490618,34,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:07:53,2016-10-09T22:07:51Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:10:29,2016-10-09T22:10:26Z,1553490618,24,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:13:12,2016-10-09T22:13:09Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:15:54,2016-10-09T22:15:52Z,1553490618,31,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:18:44,2016-10-09T22:18:41Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:21:37,2016-10-09T22:21:24Z,1553490618,26,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:23:55,2016-10-09T22:23:53Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:26:38,2016-10-09T22:26:36Z,1553490618,28,,42.564835,-70.783821,0,4.17,98.13,8.0,9.87,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:29:28,2016-10-09T22:29:26Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:32:11,2016-10-09T22:32:08Z,1553490618,24,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:34:54,2016-10-09T22:34:51Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:37:43,2016-10-09T22:37:41Z,1553490618,27,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:40:26,2016-10-09T22:40:24Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:43:09,2016-10-09T22:43:06Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:45:37,2016-10-09T22:45:35Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:48:27,2016-10-09T22:48:25Z,1553490618,24,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:51:10,2016-10-09T22:51:07Z,1553490618,,13,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:53:52,2016-10-09T22:53:50Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:56:42,2016-10-09T22:56:40Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 22:59:27,2016-10-09T22:59:23Z,1553490618,28,,42.564835,-70.783821,0,4.17,97.98,8.0,9.78,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:01:54,2016-10-09T23:01:52Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:04:44,2016-10-09T23:04:41Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:07:26,2016-10-09T23:07:24Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:09:55,2016-10-09T23:09:53Z,1553490618,31,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:12:38,2016-10-09T23:12:36Z,1553490618,,13,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:15:28,2016-10-09T23:15:25Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:18:10,2016-10-09T23:18:08Z,1553490618,,13,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:20:53,2016-10-09T23:20:51Z,1553490618,23,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:23:43,2016-10-09T23:23:40Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:26:25,2016-10-09T23:26:23Z,1553490618,30,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:29:08,2016-10-09T23:29:06Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:31:58,2016-10-09T23:31:56Z,1553490618,28,,42.564835,-70.783821,0,4.17,97.82,9.0,9.70,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:34:27,2016-10-09T23:34:25Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:36:57,2016-10-09T23:36:53Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:39:38,2016-10-09T23:39:36Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:42:28,2016-10-09T23:42:26Z,1553490618,32,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:45:11,2016-10-09T23:45:08Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:47:53,2016-10-09T23:47:51Z,1553490618,31,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:50:22,2016-10-09T23:50:20Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:53:12,2016-10-09T23:53:09Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:55:54,2016-10-09T23:55:52Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 23:58:37,2016-10-09T23:58:35Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:01:27,2016-10-10T00:01:25Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:04:10,2016-10-10T00:04:08Z,1553490618,31,,42.564835,-70.783821,0,4.17,97.66,8.0,9.16,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:06:53,2016-10-10T00:06:51Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:09:43,2016-10-10T00:09:40Z,1553490618,26,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:12:25,2016-10-10T00:12:23Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:15:08,2016-10-10T00:15:06Z,1553490618,26,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:17:58,2016-10-10T00:17:55Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:20:40,2016-10-10T00:20:38Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:23:23,2016-10-10T00:23:21Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:26:13,2016-10-10T00:26:11Z,1553490618,30,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-10 00:29:33,2016-10-10T00:28:53Z,1553490618,,8,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
